year,rider_id,name,round,round_label,stg,gc,pc,kom,spr,sum,bky,ass,tot
2023,20230933,Mads Pedersen,2,Stage 2,0,0,0,0,3,0,0,0,3
2023,20230933,Mads Pedersen,3,Stage 3,70,0,2,0,8,0,0,0,80
2023,20230933,Mads Pedersen,4,Stage 4,60,0,0,0,8,0,0,0,68
2023,20230933,Mads Pedersen,5,Stage 5,0,0,4,0,16,0,0,8,28
2023,20230933,Mads Pedersen,6,Stage 6,0,0,2,0,0,0,0,0,2
2023,20230933,Mads Pedersen,7,Stage 7,60,0,4,0,5,0,0,0,69
2023,20230933,Mads Pedersen,8,Stage 8,220,0,6,0,0,0,0,0,226
2023,20230933,Mads Pedersen,9,Stage 9,0,0,6,0,0,0,0,0,6
2023,20230933,Mads Pedersen,10,Stage 10,0,0,6,0,0,0,0,0,6
2023,20230933,Mads Pedersen,11,Stage 11,120,0,6,0,0,0,0,0,126
2023,20230933,Mads Pedersen,12,Stage 12,0,0,8,0,20,0,20,0,48
2023,20230933,Mads Pedersen,13,Stage 13,0,0,8,0,0,0,0,0,8
2023,20230933,Mads Pedersen,14,Stage 14,0,0,8,0,0,0,0,0,8
2023,20230933,Mads Pedersen,15,Stage 15,0,0,8,0,0,0,0,0,8
2023,20230933,Mads Pedersen,16,Stage 16,70,0,8,0,0,0,0,0,78
2023,20230933,Mads Pedersen,17,Stage 17,0,0,8,0,0,0,0,0,8
2023,20230933,Mads Pedersen,18,Stage 18,120,0,8,0,0,0,0,0,128
2023,20230933,Mads Pedersen,19,Stage 19,120,0,8,0,20,0,20,0,168
2023,20230933,Mads Pedersen,20,Stage 20,0,0,8,0,20,0,0,0,28
2023,20230933,Mads Pedersen,21,Stage 21,140,0,8,0,0,0,0,0,148
2023,20230933,Mads Pedersen,22,Final Classifications,0,0,100,0,0,0,0,0,100
2023,20230501,Thomas Pidcock,1,Stage 1,0,0,0,0,0,0,0,0,0
2023,20230501,Thomas Pidcock,2,Stage 2,140,4,0,0,0,0,0,2,146
2023,20230501,Thomas Pidcock,3,Stage 3,0,6,0,0,0,0,0,2,8
2023,20230501,Thomas Pidcock,4,Stage 4,0,6,0,0,0,0,0,2,8
2023,20230501,Thomas Pidcock,5,Stage 5,16,8,0,0,0,0,0,4,28
2023,20230501,Thomas Pidcock,6,Stage 6,40,12,0,0,0,0,0,4,56
2023,20230501,Thomas Pidcock,7,Stage 7,20,12,0,0,0,0,0,4,36
2023,20230501,Thomas Pidcock,8,Stage 8,8,12,0,0,0,0,0,4,24
2023,20230501,Thomas Pidcock,9,Stage 9,20,14,0,0,0,0,0,4,38
2023,20230501,Thomas Pidcock,10,Stage 10,0,13,0,0,0,0,0,4,17
2023,20230501,Thomas Pidcock,11,Stage 11,0,13,0,0,0,0,0,4,17
2023,20230501,Thomas Pidcock,12,Stage 12,0,13,0,0,0,0,0,4,17
2023,20230501,Thomas Pidcock,13,Stage 13,120,13,0,0,0,10,0,16,159
2023,20230501,Thomas Pidcock,14,Stage 14,40,10,0,0,0,0,0,18,68
2023,20230501,Thomas Pidcock,15,Stage 15,0,9,0,0,0,0,0,6,15
2023,20230501,Thomas Pidcock,16,Stage 16,0,9,0,0,0,0,0,0,9
2023,20230501,Thomas Pidcock,17,Stage 17,0,5,0,0,0,0,0,2,7
2023,20230501,Thomas Pidcock,18,Stage 18,0,5,0,0,0,0,0,2,7
2023,20230501,Thomas Pidcock,19,Stage 19,60,8,0,0,0,0,0,0,68
2023,20230501,Thomas Pidcock,20,Stage 20,12,8,0,0,0,10,20,2,52
2023,20230501,Thomas Pidcock,21,Stage 21,0,8,0,0,0,0,0,2,10
2023,20230501,Thomas Pidcock,22,Final Classifications,0,120,0,0,0,0,0,30,150
2023,20230587,Sepp Kuss,1,Stage 1,0,0,0,0,0,0,0,8,8
2023,20230587,Sepp Kuss,2,Stage 2,0,0,0,0,0,0,0,12,12
2023,20230587,Sepp Kuss,3,Stage 3,0,0,0,0,0,0,0,8,8
2023,20230587,Sepp Kuss,4,Stage 4,0,0,0,0,0,0,0,8,8
2023,20230587,Sepp Kuss,5,Stage 5,40,5,0,0,0,0,0,12,57
2023,20230587,Sepp Kuss,6,Stage 6,30,11,0,0,0,0,0,20,61
2023,20230587,Sepp Kuss,7,Stage 7,0,11,0,0,0,0,0,16,27
2023,20230587,Sepp Kuss,8,Stage 8,0,11,0,0,0,0,0,18,29
2023,20230587,Sepp Kuss,9,Stage 9,4,12,0,0,0,0,0,10,26
2023,20230587,Sepp Kuss,10,Stage 10,0,11,0,0,0,0,0,10,21
2023,20230587,Sepp Kuss,11,Stage 11,0,11,0,0,0,0,0,10,21
2023,20230587,Sepp Kuss,12,Stage 12,0,10,0,0,0,0,0,10,20
2023,20230587,Sepp Kuss,13,Stage 13,40,11,0,0,0,0,0,10,61
2023,20230587,Sepp Kuss,14,Stage 14,120,15,0,0,0,10,0,14,159
2023,20230587,Sepp Kuss,15,Stage 15,4,15,0,0,0,0,0,20,39
2023,20230587,Sepp Kuss,16,Stage 16,30,15,0,0,0,0,0,0,45
2023,20230587,Sepp Kuss,17,Stage 17,20,12,0,0,0,0,0,16,48
2023,20230587,Sepp Kuss,18,Stage 18,0,12,0,0,0,0,0,16,28
2023,20230587,Sepp Kuss,19,Stage 19,0,12,0,0,0,0,0,16,28
2023,20230587,Sepp Kuss,20,Stage 20,0,9,0,0,0,0,0,18,27
2023,20230587,Sepp Kuss,21,Stage 21,0,9,0,0,0,0,0,16,25
2023,20230587,Sepp Kuss,22,Final Classifications,0,130,0,0,0,0,0,50,180
2023,20230266,Bryan Coquard,1,Stage 1,0,0,0,0,1,0,0,0,1
2023,20230266,Bryan Coquard,2,Stage 2,0,0,0,0,5,0,0,8,13
2023,20230266,Bryan Coquard,3,Stage 3,60,0,0,0,1,0,0,0,61
2023,20230266,Bryan Coquard,4,Stage 4,140,0,4,0,16,0,0,0,160
2023,20230266,Bryan Coquard,5,Stage 5,0,0,8,0,20,0,0,0,28
2023,20230266,Bryan Coquard,6,Stage 6,0,0,8,0,20,0,0,0,28
2023,20230266,Bryan Coquard,7,Stage 7,80,0,8,0,8,0,0,0,96
2023,20230266,Bryan Coquard,8,Stage 8,110,0,8,0,3,0,0,0,121
2023,20230266,Bryan Coquard,9,Stage 9,0,0,8,0,0,0,0,0,8
2023,20230266,Bryan Coquard,10,Stage 10,0,0,8,0,0,0,0,0,8
2023,20230266,Bryan Coquard,11,Stage 11,140,0,8,0,6,0,0,0,154
2023,20230266,Bryan Coquard,12,Stage 12,0,0,6,0,0,0,0,8,14
2023,20230266,Bryan Coquard,13,Stage 13,0,0,6,0,0,0,0,0,6
2023,20230266,Bryan Coquard,14,Stage 14,0,0,6,0,0,0,0,0,6
2023,20230266,Bryan Coquard,15,Stage 15,0,0,6,0,0,0,0,0,6
2023,20230266,Bryan Coquard,16,Stage 16,0,0,6,0,0,0,0,0,6
2023,20230266,Bryan Coquard,17,Stage 17,0,0,6,0,0,0,0,0,6
2023,20230266,Bryan Coquard,18,Stage 18,0,0,6,0,5,0,0,0,11
2023,20230266,Bryan Coquard,19,Stage 19,0,0,6,0,0,0,0,0,6
2023,20230266,Bryan Coquard,20,Stage 20,0,0,6,0,0,0,0,0,6
2023,20230266,Bryan Coquard,21,Stage 21,95,0,6,0,12,0,0,0,113
2023,20230266,Bryan Coquard,22,Final Classifications,0,0,80,0,0,0,0,0,80
2023,20230456,Thibaut Pinot,1,Stage 1,140,18,2,0,0,0,0,2,162
2023,20230456,Thibaut Pinot,2,Stage 2,0,0,0,0,0,0,0,0,0
2023,20230456,Thibaut Pinot,3,Stage 3,0,0,0,0,0,0,0,0,0
2023,20230456,Thibaut Pinot,4,Stage 4,0,0,0,0,0,0,0,0,0
2023,20230456,Thibaut Pinot,5,Stage 5,4,0,0,0,0,0,0,0,4
2023,20230456,Thibaut Pinot,6,Stage 6,4,3,0,0,0,0,0,0,7
2023,20230456,Thibaut Pinot,7,Stage 7,0,3,0,0,0,0,0,0,3
2023,20230456,Thibaut Pinot,8,Stage 8,0,4,0,0,0,0,0,0,4
2023,20230456,Thibaut Pinot,9,Stage 9,0,6,0,0,0,0,0,0,6
2023,20230456,Thibaut Pinot,10,Stage 10,0,6,0,0,0,0,0,0,6
2023,20230456,Thibaut Pinot,11,Stage 11,0,6,0,0,0,0,0,0,6
2023,20230456,Thibaut Pinot,12,Stage 12,110,11,0,0,0,0,20,0,141
2023,20230456,Thibaut Pinot,13,Stage 13,0,10,0,0,0,0,0,0,10
2023,20230456,Thibaut Pinot,14,Stage 14,4,7,0,0,3,8,20,0,42
2023,20230456,Thibaut Pinot,15,Stage 15,110,8,0,0,4,0,0,0,122
2023,20230456,Thibaut Pinot,16,Stage 16,0,8,0,0,0,0,0,0,8
2023,20230456,Thibaut Pinot,17,Stage 17,50,9,0,0,0,0,0,0,59
2023,20230456,Thibaut Pinot,18,Stage 18,0,9,0,0,0,0,0,0,9
2023,20230456,Thibaut Pinot,19,Stage 19,0,9,0,0,0,0,0,0,9
2023,20230456,Thibaut Pinot,20,Stage 20,95,10,0,0,0,15,20,0,140
2023,20230456,Thibaut Pinot,21,Stage 21,0,10,0,0,0,0,0,0,10
2023,20230456,Thibaut Pinot,22,Final Classifications,0,140,0,0,0,0,0,10,150
